Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral_coef,positive_coef
to,0.05346148660832462,positive,-0.8593333407262014,0.5564173904930262,0.3029159502331528,-0.8593333407262014
is,0.04023772087652624,negative,-0.8536673308180455,-0.8536673308180455,0.5482345779193731,0.3054327528986435
it,0.038451835711798985,neutral,0.8700761433032332,-0.5534005789647793,0.8700761433032332,-0.31667556433846444
of,0.03372983772307563,negative,-0.4917231826866036,-0.4917231826866036,0.09313847819809917,0.39858470448850486
this,0.03268735123337576,negative,0.4966326173655701,0.4966326173655701,-0.4815566390805044,-0.015075978285061797
my,0.03267767364486671,positive,1.681904216189222,-1.248139746967642,-0.4337644692215816,1.681904216189222
was,0.03261281846261194,positive,-0.3274449069265521,0.05805490430900772,0.26939000261755486,-0.3274449069265521
in,0.031926065005663515,neutral,-0.10196218702756357,0.08295430503164725,-0.10196218702756357,0.01900788199592362
starbucks,0.031028486363258938,negative,-0.8125430312582435,-0.8125430312582435,0.125714976672688,0.6868280545855525
they,0.030995117153047626,negative,0.4858322071477709,0.4858322071477709,-0.4735646636597458,-0.012267543488021218
for,0.027477068631706365,negative,0.1427199975790669,0.1427199975790669,-0.0989364281517286,-0.04378356942734894
you,0.024958107450551516,positive,0.84853033852655,-0.27586338329806404,-0.5726669552284828,0.84853033852655
that,0.02423412097204295,positive,-0.2890826674049245,0.034074734832810434,0.25500793257211674,-0.2890826674049245
but,0.022586358054236644,neutral,2.5832351277205006,-1.2215389095864724,2.5832351277205006,-1.3616962181340322
are,0.022432300661119172,negative,-0.42625576177122715,-0.42625576177122715,0.23893111839762649,0.18732464337359978
have,0.02175398465090322,negative,0.050504337341194125,0.050504337341194125,-0.013242264366155464,-0.03726207297503149
coffee,0.02172467472574735,positive,-0.7557845940442892,0.5408546692189209,0.21492992482536535,-0.7557845940442892
with,0.021021165962265977,positive,0.7740424135224967,-0.5289517938481141,-0.2450906196743764,0.7740424135224967
not,0.02090975321184815,positive,-3.322829078010879,2.381982014188007,0.9408470638228916,-3.322829078010879
on,0.020562955918056677,negative,0.2996577861514227,0.2996577861514227,-0.2506594642842893,-0.04899832186713479
at,0.020418086890452908,positive,-0.8053184638870574,0.5775119248470697,0.2278065390399928,-0.8053184638870574
location,0.019861061319254452,negative,-0.638557368141353,-0.638557368141353,0.42927062820190404,0.2092867399394583
so,0.018801202016298327,negative,-1.0510442294129847,-1.0510442294129847,0.18917801282588373,0.8618662165871152
always,0.01826497517780452,positive,2.1717163224146248,-1.6424113470343804,-0.5293049753802378,2.1717163224146248
there,0.018264801069591333,positive,-0.39871084968964327,0.35683207534053424,0.04187877434910272,-0.39871084968964327
me,0.018012243612536404,neutral,-0.8943615172469849,0.17868675586867705,-0.8943615172469849,0.7156747613783007
service,0.017590627508342022,positive,0.19121234863171102,-0.1109179465595386,-0.0802944020721772,0.19121234863171102
here,0.016624980043941317,negative,-1.0888589116377585,-1.0888589116377585,0.20326790957587645,0.8855910020618716
drink,0.016491704882956162,positive,-0.5171976500768876,0.4630809773366457,0.054116672740238396,-0.5171976500768876
order,0.016486500745523193,negative,0.5957080937779355,0.5957080937779355,-0.16470110041798577,-0.43100699335995024
one,0.016342117316766398,neutral,-0.3489741377797831,0.22481957310251927,-0.3489741377797831,0.12415456467727164
get,0.01628596229116282,negative,0.5167908037067726,0.5167908037067726,-0.4029288070742909,-0.11386199663248528
drive,0.01581172471540903,positive,0.19946460191924653,-0.045132976411565155,-0.15433162550768081,0.19946460191924653
be,0.01576664460889362,positive,-0.6534092347007,0.12378596698080042,0.5296232677199008,-0.6534092347007
